Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-Oct-23,10507.95,10508.65,10443.35,10474.6,1325074557,42630.02
04-Oct-23,10436.25,10439.7,10342.75,10399.55,1425903844,48432.78
05-Oct-23,10446.65,10464.15,10418.8,10445,1238232740,41105.18
06-Oct-23,10487,10514.9,10470.5,10503.75,958034409,32522.61
09-Oct-23,10432.9,10454.6,10391.6,10411.75,1273375831,32074.58
10-Oct-23,10444.8,10529.35,10444.55,10518.45,1047803110,38439.89
11-Oct-23,10564.35,10603.95,10560.1,10581.1,1361327826,40506.75
12-Oct-23,10596.4,10607.05,10570.95,10579.85,1100829274,37981.46
13-Oct-23,10515.75,10589.3,10505.3,10561.3,1270220843,41460.63
16-Oct-23,10557.65,10583.35,10534.05,10559.55,979196373,31861.89
17-Oct-23,10616.25,10618.65,10583.5,10600.8,1196751535,35611.85
18-Oct-23,10608.2,10611.9,10513,10519.25,1139751497,39034.63
19-Oct-23,10458.55,10519.95,10431.45,10495.55,1031820243,40872.33
20-Oct-23,10458.75,10480.75,10423.55,10435,1187335686,37267.58
23-Oct-23,10428.75,10441.45,10250,10266.15,1425871441,38738.24
25-Oct-23,10275.4,10310.55,10145.05,10185.75,1339319004,40248.25
26-Oct-23,10134.5,10141.25,10017.55,10052.5,1527127913,52474.74
27-Oct-23,10098.7,10189.85,10097.75,10173.65,1157519913,39711.41
30-Oct-23,10182.9,10221.45,10108.65,10213.6,1288617616,36123.93
31-Oct-23,10264.85,10265.05,10187.05,10198.35,1171317968,38068.12
01-Nov-23,10199.55,10214.75,10143.3,10151.95,1811324091,36970.91
02-Nov-23,10223.45,10257.55,10205.05,10248.15,1617650936,39203.99
03-Nov-23,10308.05,10328.45,10300.55,10311.25,1758314508,38478.3
06-Nov-23,10371.45,10411.15,10354.85,10405.65,1213392058,36958.36
07-Nov-23,10408.95,10426.6,10376.95,10418.1,1314570502,40959.63
08-Nov-23,10449.75,10463.7,10430.75,10457.95,1488207629,38786.85
09-Nov-23,10471.25,10474.05,10428.5,10435.8,1543062162,39538.85
10-Nov-23,10415.45,10469.4,10395.4,10457.55,1133739139,31653.08
13-Nov-23,10494.5,10497.3,10459.05,10482.45,1497688522,33045.7
15-Nov-23,10588.85,10606.9,10559,10599.45,1843512170,48838.85
16-Nov-23,10603.2,10700,10580.7,10651.85,1397230506,45306.73
17-Nov-23,10612.65,10679.5,10607.4,10649.5,1990407996,47289.52
20-Nov-23,10656.55,10666.8,10622.45,10631.8,1410108162,36166.28
21-Nov-23,10673.35,10690.85,10659.7,10667.35,1196326538,37282.04
22-Nov-23,10671.7,10689.4,10618.5,10678.65,1155961041,36185.6
23-Nov-23,10693.7,10713.15,10671.5,10678.9,1049182642,32533.3
24-Nov-23,10689.2,10701.1,10668.2,10676.5,1060492910,36230.54
28-Nov-23,10707.75,10755.35,10689,10742.95,1468497161,52090.03
29-Nov-23,10797,10850.95,10790.45,10846.45,1460433980,52143.27
30-Nov-23,10857.6,10899,10808.95,10887.35,2869673107,114911.65
01-Dec-23,10930.55,10983.9,10924,10969,1547301291,52172.34
04-Dec-23,11156.3,11189.05,11095.7,11180.75,1928166634,69367.22
05-Dec-23,11238.95,11280.3,11192.25,11275.95,1902128792,80866.29
06-Dec-23,11331.15,11347.35,11283.95,11337.2,1760662064,78733.21
07-Dec-23,11345.4,11359.45,11301.5,11348.45,1917290803,64779.31
08-Dec-23,11377.25,11401.1,11287.45,11358.8,1638649015,61714.58
11-Dec-23,11367.6,11402.6,11356.45,11396.5,1803063890,51479.81
12-Dec-23,11416.6,11423.05,11310.75,11342.55,2132323064,62724.37
13-Dec-23,11361.5,11388.7,11282.6,11376.7,2041465981,60768.5
14-Dec-23,11471.55,11535.1,11461.45,11520.35,2668409803,73422.21
15-Dec-23,11579.15,11641.5,11544.5,11627.8,2535242374,91004.3
18-Dec-23,11626.7,11657,11582.2,11627,2138931351,56746.69
19-Dec-23,11660.35,11664.15,11570.55,11637.45,1937965254,55881.64
20-Dec-23,11695.2,11719.9,11384.5,11417.2,2544129674,73699.42
21-Dec-23,11340.75,11523.65,11306.1,11507.65,2048535437,60486.35
22-Dec-23,11545.25,11590.55,11498.45,11569.1,1668225641,57389.36
26-Dec-23,11590.1,11647.1,11569,11629.85,1431587453,46193.45
27-Dec-23,11669.5,11737,11659.85,11727,1225983501,48671.46
28-Dec-23,11762.7,11799.95,11736.55,11790.05,1901729620,69203.22
29-Dec-23,11781.8,11811.5,11749.85,11798.7,3248944987,55145.24
01-Jan-24,11809.45,11865.05,11787.8,11817.5,3375313977,41336.69
02-Jan-24,11831.4,11833.45,11699.05,11782.6,2942718795,57140.09
03-Jan-24,11791.55,11796.95,11734.25,11745.5,2313581439,68367.61
04-Jan-24,11796.8,11863.65,11782.5,11850.6,1996616931,63318.49
05-Jan-24,11884.3,11904.1,11817.35,11872.3,2549181732,60868
08-Jan-24,11897.2,11900.75,11748.8,11759.7,1834578725,47684.57
09-Jan-24,11838.9,11870.7,11768.8,11782.9,1912985009,56397.73
10-Jan-24,11782.25,11829.9,11717.1,11820.45,2035659916,52014.47
11-Jan-24,11863.2,11885.05,11824.6,11855.2,1663356455,59009.63
12-Jan-24,11920.7,11978.55,11885.75,11960.85,1613260638,60032.59
15-Jan-24,12042.05,12062.45,11979.6,12055.4,2128468994,66078.71
16-Jan-24,12056.6,12074.8,11971.1,12019.45,2703196358,65075.73
17-Jan-24,11844.3,11937.7,11790.75,11801.35,2769774994,89095.03
18-Jan-24,11732.45,11782.65,11599.9,11749.35,2417384918,81096.16
19-Jan-24,11835.05,11871.8,11817.1,11862.3,2264298970,75584.65
23-Jan-24,11943.1,11950.45,11599.4,11626.8,2825638546,100025.1
24-Jan-24,11614.45,11782.2,11555.45,11769.4,2585626785,87656.05
25-Jan-24,11783.1,11783.65,11660.2,11724.75,2213135938,75882.62
29-Jan-24,11771.5,11937.75,11767.65,11925.9,2236899839,76698.09
30-Jan-24,11957.35,11974,11819.6,11829.6,2098483289,71546.83
31-Jan-24,11822.45,11961.5,11802.5,11953.8,1930336648,81675.18
01-Feb-24,11992.75,12003.15,11901.2,11937.65,2240822171,78347.96
02-Feb-24,12000.6,12140.2,11995.45,12017.2,2632725675,82153.07
05-Feb-24,12063.5,12091.65,11949.35,11975.65,2749478264,82004.32
06-Feb-24,12013.65,12090.45,11953.65,12082.95,2895568757,76106.56
07-Feb-24,12156.2,12162.45,12065.45,12126.8,3765428446,76291.12
08-Feb-24,12185.8,12187.3,12026.35,12052.65,4085058723,92360.91
09-Feb-24,12064.45,12085.3,11930.15,12055.65,4055357318,84278.19
12-Feb-24,12077.3,12088.15,11890.15,11914.1,2829280097,69178.67
13-Feb-24,11939.2,11992.2,11836.4,11983.85,2540390961,68326.22
14-Feb-24,11887,12076.65,11862.75,12063.45,2312929903,66888.52
15-Feb-24,12114.9,12145,12069.75,12124.8,2389527497,69952.91
16-Feb-24,12184.85,12212.85,12157.15,12198.65,,
19-Feb-24,12242.95,12278.75,12198.6,12240.95,1783862385,52926.75
20-Feb-24,12236.2,12278.75,12205.8,12269.1,1814153764,55716.99
21-Feb-24,12301.95,12307.75,12149.95,12181.8,2188925574,64839.61
22-Feb-24,12208.8,12298.55,12104.8,12282.4,2348334723,64703.88
23-Feb-24,12324.85,12327.65,12275.85,12292.45,3267505362,59449.19
26-Feb-24,12277.9,12301.4,12222.45,12255.15,2015147507,58793.21
27-Feb-24,12245.7,12297.9,12239.8,12277.55,2056939926,57341.82
28-Feb-24,12293.2,12301.7,12099.1,12119.45,3092240348,56388.36
29-Feb-24,12112.7,12203.1,12054.75,12160.45,3590878421,101470.39
01-Mar-24,12206,12337.85,12205.35,12331.15,2178138378,61154.86
04-Mar-24,12389.3,12406.65,12353.15,12386.95,1884423777,61177.09
05-Mar-24,12380.4,12393.05,12324.4,12361.55,1750503839,61606.5
06-Mar-24,12355.45,12402.85,12241.2,12391.25,2616958455,75016.06
07-Mar-24,12410.6,12441.3,12386.75,12417.25,1577780496,68938.8
11-Mar-24,12440.35,12443.5,12330.85,12345.7,1496013152,65997.68
12-Mar-24,12351.05,12380.85,12269.8,12293.65,1623653368,60247.81
13-Mar-24,12337.4,12344.45,11949.05,12008.8,3004484478,82991.31
14-Mar-24,11983.75,12163.45,11937.4,12147.85,2691207320,73836.47
15-Mar-24,12113.8,12152.75,11998.85,12080.65,2923917431,104669.59
18-Mar-24,12065.25,12126.65,12013.55,12094.45,1586757867,51780.76
19-Mar-24,12053.15,12062.75,11939.6,11950.45,1529060883,57248.53
20-Mar-24,11973.4,12003.15,11868.35,11965.25,1506698327,54839.2
21-Mar-24,12060.45,12126.75,12054.1,12114.5,1480356273,59789.73
22-Mar-24,12084.35,12204.85,12050.5,12168.75,1921544340,67660.17
26-Mar-24,12100.8,12195.5,12100.5,12173.65,1703266964,69768.49
27-Mar-24,12207.3,12272.85,12205.55,12219,1866733980,78950.22
28-Mar-24,12252.75,12413.15,12252.55,12329.75,1948932345,79333.54
01-Apr-24,12410.65,12465.2,12407.2,12447.2,1845642021,53807.51
02-Apr-24,12462.95,12489.75,12432.05,12483.4,2169836753,68450.77
03-Apr-24,12452.5,12528.15,12432,12492.45,2320960723,72159.34
04-Apr-24,12583.1,12594.95,12443.35,12524.45,2628093603,76842.52
05-Apr-24,12516.8,12562.15,12486.85,12551,2137344570,59056.54
