Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
09-Jun-23,9621.75,9639.8,9529.35,9536,109234346,5068.03
12-Jun-23,9568.75,9622.25,9557.75,9608.05,100862336,4529.01
13-Jun-23,9644.85,9690.15,9633.7,9677.65,109050350,5209.02
14-Jun-23,9693.05,9729.25,9672.45,9719.75,153862318,5444.73
15-Jun-23,9726.95,9728.6,9681.4,9693.6,123600095,5874.19
16-Jun-23,9697.8,9745.4,9669.9,9714.1,140383256,7902.93
19-Jun-23,9732.25,9739.9,9674.85,9696.7,89579903,3952.44
20-Jun-23,9698.1,9758.45,9665.6,9746.4,93582803,4640.31
21-Jun-23,9761.4,9776.5,9721.7,9752.4,111551188,4654.8
22-Jun-23,9744.2,9747.4,9678.5,9685.55,98938056,4314.07
23-Jun-23,9669.2,9672.1,9600.25,9607.65,93837640,4476.15
26-Jun-23,9622.35,9651.05,9593.4,9616.8,77454909,3666.97
27-Jun-23,9644.65,9658.95,9620.3,9645.4,83056775,3465.23
28-Jun-23,9674.6,9739.6,9656.85,9716,179436231,7025.75
30-Jun-23,9759.4,9868.55,9743.1,9861.45,115847808,6608.98
03-Jul-23,9875.35,9920.85,9852.4,9908.25,113198014,5595.21
04-Jul-23,9946.35,9970.25,9888.25,9964.85,92804548,4936.3
05-Jul-23,9990,10073.4,9965.85,10060.5,108901995,6475.03
06-Jul-23,10072.7,10097.2,10033.2,10089.6,128585485,6696.8
07-Jul-23,10051.15,10104.75,9955.05,9971.2,109701279,5422.08
10-Jul-23,9997.3,9999.5,9889.55,9911.15,134727189,5546.74
11-Jul-23,9942.95,10002.9,9909.3,9975.6,116318085,5743.57
12-Jul-23,10019.95,10022.15,9916.6,9941.2,143643809,7796.09
13-Jul-23,9974.55,10064.05,9959.35,9983.4,179612016,9384.23
14-Jul-23,10034.55,10218.75,10028.35,10199,192038157,10525.2
17-Jul-23,10213.2,10291.8,10173,10195.25,146101097,7716.51
18-Jul-23,10211.4,10271.2,10186.55,10252.8,104798593,6926.4
19-Jul-23,10283.25,10312.75,10203.45,10269.55,132078417,7218.22
20-Jul-23,10262.9,10318.75,10193.85,10305.7,101764770,6001.6
21-Jul-23,10073.65,10158.1,10025.45,10051.3,178782291,14124.1
24-Jul-23,10084.25,10104.8,9971.25,9986.65,142476616,7129.5
25-Jul-23,9993.1,10008.7,9938.85,9992.45,217212638,8377.76
26-Jul-23,10034.85,10069.7,10015.95,10056.9,120920316,5552.9
27-Jul-23,10067.65,10093.15,9964.95,10003.3,150847735,8301.38
28-Jul-23,10011.65,10030.25,9969.8,10014.5,147060821,6289.7
31-Jul-23,10046.45,10128.55,9993.7,10121.6,196376648,8558.45
01-Aug-23,10135.85,10167.8,10110.5,10156.9,194382241,8694.91
02-Aug-23,10143,10149.95,9999.6,10059.9,176380685,7688.59
03-Aug-23,10026.5,10058.7,9955.9,10008.2,139088450,6378.03
04-Aug-23,10041.65,10093.3,10032.8,10056,97010216,5523.4
07-Aug-23,10086.1,10114.6,10054.3,10108.95,82400733,4675.8
08-Aug-23,10130.6,10135.25,10049.8,10075.9,109640502,5868.7
09-Aug-23,10076.1,10147.8,10007.3,10139.4,146629895,6399.88
10-Aug-23,10127.55,10137.4,10068.1,10091.25,113196101,5575.14
11-Aug-23,10108.9,10113.05,10022.65,10035.85,112255108,6478.87
14-Aug-23,10032.2,10063.55,9951.25,10048.85,101660567,4426.75
16-Aug-23,10069.9,10106,10036.75,10099.9,106575282,5380.04
17-Aug-23,10099.65,10099.8,9998.85,10035.4,106971050,5398.24
18-Aug-23,10001.75,10011.25,9925.2,9946.65,118785688,5978.44
21-Aug-23,9965.55,10056.2,9953.15,10045.5,83072689,3722.58
22-Aug-23,10061.6,10074.75,10029.15,10067.25,83363482,3661.64
23-Aug-23,10115.55,10115.55,10059.5,10080.6,109213105,4386.9
24-Aug-23,10123.5,10140.8,10060.45,10068,102712498,4734.69
25-Aug-23,10030.85,10038.8,9970.3,9987.1,81759219,3939.72
28-Aug-23,10007.7,10016.2,9963.75,9983.15,71870090,3535.4
29-Aug-23,10020.15,10034.95,9999.25,10018.35,100697912,4382.71
30-Aug-23,10060.6,10086.45,10051.6,10061.95,108118515,4410.82
31-Aug-23,10083.3,10104.55,9971.95,10008.5,206524236,10130.64
01-Sep-23,10014.75,10155.6,10008.45,10145.4,201910559,6570.85
04-Sep-23,10186.4,10284.2,10145.4,10272.45,200778745,8031.72
05-Sep-23,10291.7,10329.85,10257,10325.35,138355133,6044.04
06-Sep-23,10351.15,10351.7,10249.9,10325.1,129163998,5483.71
07-Sep-23,10320.4,10370.1,10289,10356.6,195257990,7724.74
08-Sep-23,10373.9,10403.05,10349.6,10377.95,166072931,6328.51
11-Sep-23,10425.95,10481.1,10401.1,10474,137005034,5842.58
12-Sep-23,10531.3,10534.2,10385.3,10478.1,188017203,9298.42
13-Sep-23,10491.7,10535,10459.65,10513.4,113857765,5714.52
14-Sep-23,10554.65,10597.1,10516.75,10547.55,181047931,8423.3
15-Sep-23,10574.5,10606.95,10560.75,10585.2,229466841,11027.16
18-Sep-23,10581.9,10612.4,10538.75,10597.05,153660291,6248.94
20-Sep-23,10528.7,10620.9,10524.2,10559.3,177403646,7235.54
21-Sep-23,10540.55,10549.75,10455.65,10513.2,130904743,6969.66
22-Sep-23,10487.2,10538,10429.05,10480.85,120962051,5688.14
25-Sep-23,10481.6,10500.4,10404.95,10440.85,93550394,4765.9
26-Sep-23,10454.8,10459.55,10411.25,10443.25,120366417,4899.87
27-Sep-23,10436.35,10488.15,10380.95,10481.3,106856550,4856.43
28-Sep-23,10491.85,10493.45,10296.35,10320.5,194655513,8044.99
29-Sep-23,10345.3,10441.1,10311.5,10394.8,146079109,6601.64
03-Oct-23,10378.15,10379.45,10305.7,10318.75,113054421,5431.51
04-Oct-23,10276.95,10301.05,10208.6,10291.4,129322567,5597.6
05-Oct-23,10345.65,10375.5,10303,10335.3,129074182,6788.12
06-Oct-23,10378.95,10418.2,10343.65,10399.25,85285564,4341.97
09-Oct-23,10356.75,10430,10334.65,10378.6,93483479,5524.8
10-Oct-23,10401.75,10482.9,10379.55,10473.1,117838559,5393.52
11-Oct-23,10513.4,10559.7,10498.1,10523.35,118176742,6643.65
12-Oct-23,10518.1,10539.85,10464.15,10480.55,137223243,8644.03
13-Oct-23,10377.2,10473.65,10368.55,10454.3,123672146,8000.72
16-Oct-23,10452.6,10500.25,10443.45,10469.5,104381604,5107.62
17-Oct-23,10505.85,10543.1,10487.8,10518.75,99945662,4776.08
18-Oct-23,10537.6,10563.05,10463.05,10472.5,98851516,4750.33
19-Oct-23,10401.5,10454.2,10393,10442.4,128782677,7604.5
20-Oct-23,10385.2,10407,10329.9,10345.55,116347786,5867.89
23-Oct-23,10320.5,10339.9,10170.85,10185.05,89335444,3970.3
25-Oct-23,10171.45,10221.45,10054.5,10104.85,127326876,5915.3
26-Oct-23,10026,10051.9,9990.5,10022.9,148457517,7839.15
27-Oct-23,10042.3,10126.9,10042.3,10107.25,107219090,5235.03
30-Oct-23,10118.3,10133.65,10041.9,10102.55,95034896,4394.22
31-Oct-23,10128.05,10143.3,10046.1,10091.45,92568316,4324.7
01-Nov-23,10101.15,10119.35,10004.3,10017.7,94034662,4586.56
02-Nov-23,10069.25,10123.8,10061.65,10106.5,145656506,5434.73
03-Nov-23,10153.05,10179.45,10144.95,10160.1,96718403,4411.56
06-Nov-23,10202.5,10261.45,10194.15,10246.6,93455077,4147.24
07-Nov-23,10241.7,10264.6,10216.4,10243.45,95101965,3995.7
08-Nov-23,10268.1,10281.95,10246.55,10261.7,99499592,4369.98
09-Nov-23,10282.8,10286.35,10200.1,10207.85,116313650,5971.61
10-Nov-23,10194.25,10232.8,10177.3,10219.6,86169147,3708.35
13-Nov-23,10270.7,10295.95,10237.7,10266.4,124098699,4791.54
15-Nov-23,10392.7,10445.85,10350.85,10433.65,177448981,8165.29
16-Nov-23,10454.65,10599.35,10422.05,10539.9,170929039,8263.49
17-Nov-23,10535.15,10594.1,10533.8,10547,113326995,5914.63
20-Nov-23,10558.9,10595.65,10535.65,10547.35,90663347,4724.44
21-Nov-23,10579,10606.25,10553.45,10560.85,104530742,5088.86
22-Nov-23,10562.45,10630.2,10549.75,10625.5,91460508,4583.68
23-Nov-23,10645.6,10665.35,10606.45,10630.95,103623442,5798.79
24-Nov-23,10630.3,10643.3,10553.3,10562.85,75752972,4124.9
28-Nov-23,10600.85,10634.25,10553.15,10621.85,106896694,5508.58
29-Nov-23,10659.35,10726.15,10653.05,10720.65,121900095,6412.08
30-Nov-23,10714.9,10753.55,10681.1,10733.9,234844102,12224.81
01-Dec-23,10778.8,10844.65,10765.3,10829.9,160568413,7091.95
04-Dec-23,10952.1,10960.05,10905.8,10943.05,206797665,8869.92
05-Dec-23,10981.5,10981.55,10880.7,10955.4,188800473,8566.31
06-Dec-23,10995.9,11068.7,10970.5,11057.95,181651228,8340.4
07-Dec-23,11063.75,11067.65,11000.8,11019.85,161319812,7577.6
08-Dec-23,11062.5,11094.45,10977.65,11031.5,168813898,8343.24
11-Dec-23,11048.65,11084,11022.15,11073.6,119318877,5747.3
12-Dec-23,11072.45,11146.25,11030.4,11069.2,129866429,7162.16
13-Dec-23,11081.1,11087.05,10961.1,11055.75,151526775,8568.41
14-Dec-23,11155.6,11233.3,11126.75,11216.15,202208708,10871.99
15-Dec-23,11289.5,11539.75,11276.95,11506.5,294725483,16677.41
18-Dec-23,11475.2,11525.1,11433.5,11457.3,157280207,8480.93
19-Dec-23,11475.45,11506.75,11384,11473.35,148101668,7217.73
20-Dec-23,11528.95,11574.15,11251.75,11279.6,230873384,10321.54
21-Dec-23,11197.05,11360.25,11175.5,11316.15,155950807,7579.51
22-Dec-23,11359.65,11482.7,11325.1,11466.65,155476121,8215.67
26-Dec-23,11452.95,11533.45,11418.1,11503.3,140459244,7541.8
27-Dec-23,11532.35,11609.35,11505.5,11594.95,155298388,7454.53
28-Dec-23,11627,11704.65,11597.75,11692.95,244409223,11570.2
29-Dec-23,11655.7,11681.45,11597.15,11618.7,159010224,8019.14
01-Jan-24,11614.2,11723.55,11606.9,11669.75,100804943,5637.1
02-Jan-24,11677.1,11680.35,11543.05,11606.55,169604368,9288.84
03-Jan-24,11567.2,11577.55,11484.25,11500.55,183905403,10731.72
04-Jan-24,11554.75,11570.4,11497.6,11536.9,232406834,12696.73
05-Jan-24,11573.85,11629.3,11550.45,11588.95,215418503,10414.77
08-Jan-24,11606.55,11610.3,11460,11471.5,148676102,7217.38
09-Jan-24,11573.15,11598.95,11479.65,11496.85,137705801,9252.05
10-Jan-24,11484.8,11517.65,11426.2,11503.45,134381788,7277.97
11-Jan-24,11546.05,11556,11473.45,11497.2,133551331,9272.3
12-Jan-24,11655.45,11810.7,11629.55,11794.85,210395995,15699.01
15-Jan-24,11952.4,11979.45,11880.4,11934.05,260953652,15503.65
16-Jan-24,11917.35,11923.85,11807.15,11877.8,193477350,9702.47
17-Jan-24,11743.75,11870.1,11737.3,11767.1,252612203,15310.3
18-Jan-24,11732.8,11772.3,11605.7,11748.45,216334108,11511.69
19-Jan-24,11833.15,11911.2,11814.05,11890,202415696,11199.52
23-Jan-24,12007.1,12017.8,11704.6,11737.1,254216067,16982.17
24-Jan-24,11789.35,11880.5,11719,11864.4,239386664,14424.73
25-Jan-24,11860.6,11860.6,11756.35,11824,256675355,15405.09
29-Jan-24,11871.15,11929.45,11840.25,11907.9,238900119,11491.08
30-Jan-24,11927.55,11983.65,11824.5,11839.3,243596081,11882.39
31-Jan-24,11853.5,11990.85,11811.5,11972.4,253774222,14958.08
01-Feb-24,11994.25,12064.95,11945.9,11970.4,210085486,11509.59
02-Feb-24,12046.1,12272,12045.05,12145.9,287022146,13963.44
05-Feb-24,12175.8,12244.15,12108.25,12141.4,290279236,12855.53
06-Feb-24,12171.75,12305.85,12114.2,12292.8,237684415,13036.96
07-Feb-24,12349.5,12350.35,12211.8,12247.35,238615858,13111.63
08-Feb-24,12283.35,12329.8,12166.7,12194.7,353421534,19268.66
09-Feb-24,12198.75,12244.95,12100.7,12229.2,240920360,13331.34
12-Feb-24,12244.8,12278.5,12085.8,12112.2,207370949,11313.13
13-Feb-24,12138.1,12187.45,12039.85,12172.75,266723029,14115.29
14-Feb-24,12076.8,12265.6,12023.6,12249.05,221938670,12721.93
15-Feb-24,12302.45,12340.6,12241.1,12306.8,231021404,12193.06
16-Feb-24,12365.8,12411.1,12327.3,12368.2,227025697,12744.09
19-Feb-24,12395.7,12474.15,12357.85,12420.45,140524689,8825.1
20-Feb-24,12393.35,12401.2,12313.15,12376.5,197941038,10780.33
21-Feb-24,12395.7,12418.75,12254.7,12280,262563986,12826.23
22-Feb-24,12333.45,12482.5,12216.15,12462.3,219027845,13238.54
23-Feb-24,12533.25,12537.15,12390.3,12405.95,142689244,9546.54
26-Feb-24,12383.85,12392.95,12282.2,12323.95,128364402,7212.68
27-Feb-24,12308.9,12393.3,12308.85,12380.8,158816136,9634.23
28-Feb-24,12390.85,12423.65,12246.8,12272.6,120588303,7397.01
29-Feb-24,12250,12337.3,12194.55,12284.55,217126276,15066.96
01-Mar-24,12334.25,12459.5,12328.5,12430.65,250341077,11513.39
04-Mar-24,12484.8,12529.4,12472.85,12488.8,213715364,10153.04
05-Mar-24,12455.15,12478.5,12383.3,12433.15,161923568,9475.33
06-Mar-24,12405.25,12511.6,12311.2,12494.2,199772257,12170.82
07-Mar-24,12507.7,12561,12468.85,12545.95,253855176,12362.35
11-Mar-24,12562.05,12570.9,12421.8,12441.9,180099825,10642.52
12-Mar-24,12423.85,12480,12353.8,12401.8,190471208,12155.8
13-Mar-24,12501.3,12515.1,12190.75,12254.1,358023982,18077.27
14-Mar-24,12243.9,12389.95,12177.85,12377.45,284904481,14152.65
15-Mar-24,12327,12361.95,12220.05,12299.4,433810274,25527.1
18-Mar-24,12280.35,12339.2,12225.45,12267.25,275089279,9773.52
19-Mar-24,12198.5,12214.75,12052.1,12063.2,244195110,13973.59
20-Mar-24,12075.7,12134.15,12009.05,12086.6,204251550,10843.93
21-Mar-24,12179.3,12228.25,12139.95,12192.95,247374207,13802.44
22-Mar-24,12095.65,12213.9,12025.5,12173.1,259581296,16534.26
26-Mar-24,12084.95,12162.5,12084.45,12130.2,193675687,11589.68
27-Mar-24,12156.1,12172.45,12056.2,12076.35,271685350,15914.59
28-Mar-24,12106,12310.2,12106,12211.75,259474686,17032.55
01-Apr-24,12298.9,12321.55,12261.95,12285.85,169630901,8464.84
02-Apr-24,12265.75,12277.2,12216.6,12244.55,183552275,10717.92
03-Apr-24,12216.3,12310.4,12195.85,12266.25,201919396,12641.46
04-Apr-24,12347,12355.45,12172.25,12275.1,254153610,15687.34
05-Apr-24,12243.25,12285.8,12202.75,12271.6,148655387,9087.44
